질문 유형,직무 - 회사,질문,답변
역량/경험,경영 지원 본부 - KOTRA(대한무역투자진흥공사),"공사직무기술서를 참고하여 해당 직무와 유관한 본인의 역량을 한 가지 제시하고, 이를 개발하기 위해 노력한 경험 및 활동들    ","[국제 시장 분석 능력을 갖춘 인재]
해당 직무와 직접적으로 연관된 제 역량은 '국제 시장 분석 능력'입니다. 이 역량은 글로벌 비즈니스 환경에서의 기업 경쟁력 강화와 신시장 개척에 있어 핵심적인 요소입니다. 저는 대학교 재학 중 국제무역학을 전공하면서 다양한 국가의 시장 환경 분석, 경제 정책, 무역 이론에 대한 깊은 이 해를 바탕으로 이 역량을 개발하기 시작했습니다.
역량 개발을 위해 가장 주목할 만한 활동은 대학교 3학년 때 참여한 국제 무역 전략 프로젝트입니다. 이 프로젝트는 실제 중소기업을 대상으로 해외 시장 진출 전략을 수립하는 것이었습니다. 저는 팀 리더로서 베트남 시장에 진출하고자 하는 한국의 소비재 기업을 위한 시장 조사와 전략 수립을 주도했습니다. 이 과정에서 베트남의 경제 상황, 소비자 행동, 경쟁 기업 분석에 이르기까지 광범위한 시장 조사를 실시했습니다. 또한, 현지의 문화적 요소와 법적 규제를 고려한 맞춤형 마케팅 전략을 개발했습니다. 이 프로젝트를 통해 실제로 기업의 베트남 시장 진출 전략에 기여 할 수 있었으며, 이러한 경험은 제 국제 시장 분석 능력을 실질적으로 강화하는 데 큰 도움이 되었습니다.
또한, 졸업 후 국제 무역 관련 회사에서 인턴으로 근무하면서 이론적 지식을 실제 업무에 적용하는 기회를 가졌습니다. 특히, 다양한 국가의 시장 조사 보고서를 작성하며 국제 시장 분석 역량을 더욱 발전시킬 수 있었습니다. 이 경험을 통해 얻은 실질적인 분석 기술과 전략 수립 능력은 KOTRA에서의 업무 수행에 있어 중요한 자산이 될 것입니다.
이러한 학습과 경험을 통해 저는 국제 시장 분석에 있어 실질적인 역량을 갖추게 되었으며, 이는 KOTRA에서의 직무 수행에 있어 기업의 해외 시장 진출 전략 수립 및 신시장 개척을 위한 근본적 인 기술로 활용될 수 있습니다. 저는 이 역량을 바탕으로 KOTRA에서 한국 기업의 글로벌 비즈니스 확장에 기여하고자 합니다."
성장/가치관,경영 지원 본부 - KOTRA(대한무역투자진흥공사),"학업, 취미, 업무 등을 하면서 과감한 도전과 변화를 통해 목표를 달성했던 사례","대학 시절, 저는 학과 학생회장으로서 전통적인 학과 행사의 변화를 추구하는 과감한 도전을 시도했습니다. 당시 학과의 가장 큰 행사는 매년 비슷한 형식으로 진행되어 학생들의 참여도와 만족도가 점차 줄어들고 있었습니다. 이에 저는 학생들의 참여를 극대화하고, 학과 커뮤니티를 강화하는 새로운 방식의 행사를 기획하고 실행하기로 결심했습니다.
저의 목표는 학과 행사를 단순한 모임이 아닌, 학생들이 직접 참여하고 경험할 수 있는 '체험형 행사'로 변모시키는 것이었습니다. 이를 위해 저는 먼저 학과 학생들을 대상으로 설문조사를 실시해, 그들이 행사에 바라는 바와 관심사를 파악했습니다. 설문 결과를 바탕으로, 전공과 연계한 창업 워크숍, 전문가 초청 강연, 실습 중심의 경진 대회 등 다양한 프로그램을 기획했습니다.
도전은 큰 리스크를 동반했습니다. 기존의 행사 예산과 인력으로는 새로운 프로그램을 모두 수 행하기 어려웠고, 학과 내에서도 변화에 대한 저항이 있었습니다. 하지만 저는 학과 교수님들과 의 면담을 통해 프로젝트의 의의와 잠재적 효과를 설명하고 지지를 얻어냈습니다. 또한, 학과 학생회의 구성원들과 긴밀히 협력하여 자원을 효율적으로 배분하고, 외부 스폰서와 협력을 모색하여 추가 예산을 확보하는 데 성공했습니다.
결과적으로, 우리가 주최한 첫 번째 체험형 학과 행사는 대성공을 거두었습니다. 학생들은 새로 운 형식의 행사에 큰 만족감을 표하며 적극적으로 참여했고, 이후 학과 내에서의 소통과 결속력 이 크게 강화되었습니다. 또한, 이 행사는 학과의 전통적인 행사 방식에 변화를 가져오는 계기가 되었으며, 이후로도 계속해서 다양하고 창의적인 행사가 기획되었습니다.
이 경험을 통해 저는 변화를 두려워하지 않고, 목표를 향해 과감히 도전할 때 비로소 혁신이 일어 난다는 것을 배웠습니다. 또한, 팀원들과의 협력과 외부 자원의 활용이 목표 달성에 있어 얼마나 중요한지 깨달았습니다. KOTRA에서도 이러한 도전 정신과 협업 능력을 바탕으로 새로운 시장 개척과 한국 기업의 글로벌 경쟁력 강화에 기여하고 싶습니다."
협업/성과,경영 지원 본부 - KOTRA(대한무역투자진흥공사),본인과 다른 의견을 가진 사람들과 효과적으로 소통하여 긍정적인 결과를 얻었던 사례에 대해 기술 ,"대학교에서 진행한 마케팅 프로젝트 팀에서, 저는 다양한 배경과 의견을 가진 팀원들과 협업하는 중요한 경험을 했습니다. 우리의 목표는 신제품 출시를 위한 통합 마케팅 전략을 개발하는 것 이었습니다. 하지만 프로젝트 초기 단계에서부터 팀원들 사이에는 제품의 타겟 시장과 마케팅 채 널 선택을 둘러싼 의견 충돌이 발생했습니다.
팀의 일부는 젊은 소비자를 대상으로 한 디지털 마케팅 전략에 중점을 두어야 한다고 주장했으며, 다른 일부는 더 넓은 연령대를 포괄하는 전통적인 마케팅 채널을 사용해야 한다고 주장했습니다. 이러한 의견 대립은 프로젝트의 진행을 지연시키고 팀 내 긴장을 높였습니다.
이 문제를 해결하기 위해 저는 중립적인 입장에서 양측의 의견을 경청하고, 각각의 전략이 가지 는 장단점을 면밀히 분석하여 팀원들에게 제시했습니다. 또한, 팀원들 모두가 참여하는 워크숍을 주최하여, 각자의 의견을 자유롭게 공유하고 토론할 수 있는 기회를 마련했습니다. 이 과정에 서, 저는 각 팀원의 의견을 존중하며, 공통된 목표를 향해 나아갈 수 있는 방법을 모색하는 데 중 점을 두었습니다.
결국, 우리 팀은 각각의 전략이 가진 이점을 결합한 하이브리드 마케팅 전략에 합의했습니다. 디지털 마케팅 채널을 통해 젊은 소비자에게 접근하는 동시에, 전통적인 마케팅 채널을 이용해 더 넓은 연령대의 소비자에게도 도달하기로 결정했습니다. 이 협력적 접근 방식은 프로젝트의 성공 적인 완수로 이어졌으며, 우리 팀은 높은 평가를 받았습니다.
이 경험을 통해, 저는 의견이 다른 사람들과 효과적으로 소통하고, 서로의 차이를 인정하며 공동 의 목표를 향해 협력하는 방법을 배웠습니다. KOTRA에서도 이러한 소통 능력과 협업 정신을 바탕으로 다양한 국가와 문화적 배경을 가진 파트너 및 동료들과 긍정적이고 생산적인 관계를 구축 해 나갈 수 있을 것이라 확신합니다."
동기/포부,신약 연구개발 - 경보제약,지원동기 및 입사 후 포부 ,"경보제약은 혁신적인 의약품을 개발하여 사람들의 건강과 삶의 질을 향상시키는 글로벌 기업으로서의 명성을 갖추고 있습니다. 저는 이러한 뛰어난 기업 문화와 업적에 매료되어 지원하게 되었습니다. 특히, 경보제약의 연구 개발 분야에서는 지속적인 혁신과 과학 기술의 발전을 통해 새로운 치료법과 치료제를 개발하는 데에 열정을 가지고 있습니다. 이러한 경향은 제가 연구개발 분야에서의 경험과 지식을 활용하여 회사의 비전을 이끌고 이루어낼 수 있는 능력을 보유하고 있음을 의미합니다.
입사 후에는 경보제약의 연구개발 팀에 소속되어 혁신적인 프로젝트에 참여하고 싶습니다. 새로 운 의약품을 개발하고 임상시험을 통해 환자들의 삶을 개선하는 일에 기여하고 싶습니다. 또한, 연구 및 개발 과정에서의 협업과 소통을 통해 동료들과 함께 더 나은 결과물을 만들어내고자 합니다. 또한, 항상 새로운 지식과 기술을 습득하고 자기계발에 힘쓰며, 회사의 성장과 발전에 기여 하고자 합니다.
경보제약은 미래 의약품 산업의 선도 기업으로서의 위치를 굳건히 다지고 있는데, 이에 함께하고 싶습니다. 저의 열정과 끈기를 바탕으로 회사의 성장과 발전에 기여하고, 함께 성장하는 기업 문화를 형성하기 위해 노력하겠습니다."
협업/성과,신약 연구개발 - 경보제약,살아오면서 가장 기억에 남았던 일과 그 일을 겪고 느낀 점 ,"고등학교 시절, 학교에서 자원봉사활동을 진행하던 중 한 아이와의 만남이 가장 기억에 남는 일 중 하나입니다. 그 아이는 지적 장애를 가진 학생으로, 다른 학생들과는 다르게 학교 생활에 어려움을 겪고 있었습니다. 우연히 그 아이와 함께하는 기회를 얻게 되었는데, 처음에는 어색함과 거리감을 느끼기도 했습니다.
하지만 시간이 지날수록 그 아이와의 교감이 높아지고, 서로를 이해하고 배려하는 것이 중요함을 깨달았습니다. 그 아이와 함께 봉사활동을 하면서, 그 아이가 가진 특별한 매력과 순수함에 마 음이 따뜻해졌고, 그와 함께 있을 때 행복함을 느낄 수 있었습니다.
그 일을 겪고 나서, 우리 주변에는 다양한 사람들이 존재하며, 그들 각자가 가진 특별함을 인정하고 존중해야 한다는 것을 깨달았습니다. 더불어, 누군가에게 도움을 주는 것이 얼마나 소중하고 의미 있는 일인지를 깨달았습니다. 이 경험을 통해 저는 서로 다른 사람들과의 소통과 이해를 통 해 더 나은 세상을 만들어 나가는데 기여하고 싶다는 다짐을 하게 되었습니다."
동기/포부,연구개발 - 현대케피코 ,당사의 지원 직무를 선택하게 된 계기 ,"자동차 산업이 점점 친환경화되고, 전자제어 기술이 핵심적인 역할을 하게 되면서 자동차 부품 개발 분야 에 매력을 느꼈습니다. 특히, 현대케피코가 엔진 제어, 전동화, 소프트웨어 솔루션 등의 첨단 기술을 통해 자동차의 성능과 효율성을 혁신하는 데 앞장서는 모습을 보며 큰 감명을 받았습니다.
대학교 시절, 저는 전자공학을 전공하며 회로 설계와 센서 시스템에 대한 이해를 깊이 있게 다졌습니다. 콜 업 프로젝트로는 IoT 기반 차량 모니터링 시스템을 개발하며 실시간 데이터 수집 및 분석 기술을 경험할 수 있었습니다. 이러한 경험은 현대케피코의 기술적 비전과 일치하며, 첨단 전자제어 시스템을 통해 더 안 전하고 효율적인 자동차를 개발하는 데 기여할 수 있을 것이라 확신합니다.
또한, 현대케피코의 전동화 기술을 통해 지속 가능한 모빌리티를 실현하려는 노력은 제가 진정으로 동참하고 싶은 목표입니다. 제 기술적 역량과 실무 경험을 바탕으로 현대케피코의 연구개발(R&D) 부문에서 새로운 가치를 창출하며, 미래 자동차 시장에서의 경쟁력을 강화하는 데 일조하고 싶습니다."
역량/경험,연구개발 - 현대케피코 ,"지원 직무를 수행함에 있어 가장 필요한 역량을 정의한 후, 이를 지원자가 갖추었음을 서술해주세요. (자신의 전공, 경험 등을 기반으로 구체적으로 기술) ","현대케피코의 연구개발(R&D) 직무를 수행하기 위해 가장 중요한 역량은 기술적 전문성, 문제 해결 능력, 그리고 협업 능력이라고 생각합니다. 자동차 전장 부품은 지속적인 기술 발전과 높은 정밀도가 요구되며, 이 과정에서 다양한 문제를 해결하고 팀 내 조화를 이루는 역량이 필수적입니다.
저는 전자공학 전공을 통해 회로 설계, 임베디드 시스템, 센서 기술 등을 학습하며 기술적 전문성을 쌓아왔습니다. 특히, 졸업 프로젝트로 진행한 자율주행 차량의 장애물 감지 센서 설계에서는 실제 데이터를 기반으로 알고리즘을 개선하며 문제 해결 능력을 길렀습니다. 프로젝트 초기, 센서 오작동 문제로 데이터 왜곡 이 발생했으나, 팀원들과 원인을 분석하고 하드웨어 및 소프트웨어를 동시에 조정하여 성공적으로 개선한 경험이 있습니다.
또한, 자동차 부품 제조사에서의 인턴 경험을 통해 실질적인 협업의 중요성을 깨달았습니다. 다양한 부서와의 소통이 필요한 환경에서, 설계 변경사항을 효율적으로 전달하며 프로젝트 일정을 준수했습니다. 이 과정에서 팀원들과 아이디어를 공유하며 협업 능력을 발전시킬 수 있었습니다.
현대케피코는 자동차 전장 부품과 전동화 솔루션 분야에서 선도적인 역할을 수행하고 있습니다. 제가 갖춘 기술적 전문성과 문제 해결 경험은 현대케피코의 혁신적인 제품 개발에 기여할 수 있을 것입니다. 또한, 협업을 통해 팀원들과 시너지를 발휘하며, 회사의 비전인 지속 가능한 모빌리티 실현에 동참하고 싶습니다."
협업/성과,연구개발 - 현대케피코,"조직 내에서 (1. 주도적으로 목표를 설정하고 실행한 경험), (2. 협업을 통해 목표를 달성함 경험) 중 하나를 선택한 수 해당 내용 설명 ","대학교 재학 중, 교내 공모전에서 친환경 자동차 배터리 관리 시스템(BMS) 개발 프로젝트에 참여한 경험 이 있습니다. 팀원들과 함께 프로젝트를 시작하며 가장 먼저 직면한 문제는 팀원들의 전공과 이해도가 다르다는 점이었습니다. 전자공학, 화학공학, 기계공학 전공자들로 구성된 팀이었기에, 서로의 역할을 명확히 나누는 것이 중요했습니다.
저는 팀의 조정자 역할을 맡아 전체적인 로드맵을 설계하고, 팀원들의 전문성을 최대한 활용할 수 있도록 소통과 협업을 촉진했습니다. 먼저, 팀원들의 의견을 바탕으로 주요 기능과 설계 방향을 정의하고, 각자 맡은 역할을 명확히 분배했습니다. 이후 매주 정기적인 회의를 통해 진행 상황을 점검하고, 문제를 함께 해결 해 나갔습니다. 프로젝트 중간, 배터리 성능 최적화 알고리즘 구현 과정에서 예상치 못한 데이터 오류가 발생했지만, 데이터 분석 팀과 협력하여 알고리즘을 수정해 최적화 문제를 해결했습니다.
결과적으로, 저희 팀은 교내 공모전에서 최우수상을 수상하며 프로젝트의 가치를 인정받았습니다. 이 경험을 통해 소통의 중요성과 다양한 전공 간 협업을 통해 문제를 해결하는 방법을 배웠습니다. 현대케피코 입사 후에도 이러한 협업 경험을 바탕으로 다양한 부서와의 협력에서 시너지를 발휘하며, 혁신적인 솔루션 개발에 기여하겠습니다."
역량/경험,생산관리 - 효성중공업 ,지원 직무 관련 자신이 갖춘 역량에 대하여 구체적으로 기술 ,"[다양한 역량을 보유한 인재]
저는 생산관리 직무에 필요한 다양한 역량을 보유하고 있습니다. 먼저, 생산 계획 및 일정 관리 능력이 있습니다. 과거 경험을 통해 다양한 생산 환경에서 생산 일정을 수립하고 조율하는 데 능숙합니다. 생산라인 의 효율성을 높이기 위해 일정을 세우고 운영에 필요한 자원을 계획하는 과정에서 정확하고 체계적인 접근을 취합니다. 이는 생산 프로세스의 원활한 진행과 생산량의 증가에 도움이 됩니다.
둘째로, 생산 프로세스 개선 및 최적화에 대한 지식과 능력을 보유하고 있습니다. 공정의 각 단계를 신중하게 분석하여 병목 현상을 해결하고 생산 효율성을 향상시키는 방안을 모색합니다. Lean
Manufacturing 및 Six Sigma와 같은 개선 방법론에 익숙하며, 이를 적용하여 생산 과정에서 발생하는 비효율성을 개선하는 데 기여할 수 있습니다.
또한, 팀원들과의 원활한 협업과 커뮤니케이션 능력을 갖추고 있습니다. 생산 팀원들과의 협력을 통해 목표 달성을 위한 노력을 조율하고, 문제 발생 시 효과적인 해결책을 찾아내는 데 기여합니다. 효성중공업에 서는 다양한 부서 및 팀과의 협업이 중요하며, 저는 이러한 환경에서 원활한 소통과 협력을 통해 효과적인 결과를 이끌어내겠습니다.
끝으로, 문제 해결 능력과 책임감을 바탕으로 생산 과정에서 발생할 수 있는 문제를 신속하게 대응하고 해결할 수 있습니다. 예기치 못한 문제에 대처하고, 생산 일정을 유지하면서 품질과 안전을 보장하는 것이 저의 목표입니다. 이러한 능력과 자세를 바탕으로, 생산 관리 업무에서 효성중공업의 성공을 지원하고 함께 성장해 나가고자 합니다. 감사합니다."
협업/성과,자동차 제조 및 소재 기술 분야 - 넥센타이어,"귀하가 지원한 직무의 힘들고 어려운 점은 무엇이라 생각하며, 이를 해결했던 경험을 서술 ","저는 자동차 산업에서의 직무는 기술적으로 매우 요구되는 분야라고 생각합니다. 특히 자동차 부품 및 소 재의 품질 관리와 공정 개선은 매우 민감한 문제로, 힘들고 어려운 점이 많이 존재할 수 있다고 생각합니다.
이전의 경험 중 하나는 제품 품질 관리 과정에서의 어려움이었습니다. 이전에 일했던 회사에서는 제품 생 산 과정에서 품질 문제가 지속적으로 발생하고 있었습니다. 이는 고객 만족도를 떨어뜨리고 생산성에도 부 정적인 영향을 미치는 중요한 문제였습니다.
이러한 상황에서 저는 품질 관리팀에 참여하여 문제의 원인을 규명하고 해결책을 모색하기로 결정했습니다. 우선, 생산 과정에서 품질 문제가 발생하는 지점을 세밀하게 분석하고, 각 단계에서의 데이터를 수집하고 분석하여 문제의 근본 원인을 파악했습니다.
그 다음으로는 팀원들과의 원활한 커뮤니케이션과 협력을 통해 해결책을 모색하고 적용하는 과정을 거쳤습니다. 우리는 생산 과정에서의 품질 관리 체계를 재검토하고, 품질 향상을 위한 새로운 접근 방식을 도입했습니다. 이를 통해 품질 문제를 해결하고 향후에는 유사한 문제가 발생하지 않도록 예방하는 시스템을 구축할 수 있었습니다.
이 경험을 통해 팀원들과의 협력과 문제 해결 능력이 중요하다는 것을 배웠습니다. 또한, 어려운 상황에서 도 문제를 해결하고 성공으로 이끌어 나갈 수 있는 능력을 갖추게 되었습니다. 넥센타이어에서도 힘들고 어려운 상황에 대처하고 품질 관리와 공정 개선에 주도적으로 참여하여 회사의 발전에 기여하고 싶습니다."
동기/포부,자동차 제조 및 소재 기술 분야 - 넥센타이어,넥센타이어에 지원하게 된 이유와 준비 과정,"저는 자동차 산업에 대한 높은 관심과 열정을 가지고 있습니다. 이에 따라 자동차 산업에서 선도 적인 기업 중 하나인 넥센타이어에 지원하게 되었습니다. 넥센타이어는 고품질의 타이어 제품으로 소비자들의 신뢰를 얻고 있으며, 지속적인 혁신과 기술 개발을 통해 산업을 선도하고 있습니다.
제가 넥센타이어를 선택한 이유는 여러 가지가 있습니다. 먼저, 넥센타이어는 국내외 자동차 업계에서 선도적인 기업으로 인정받고 있으며, 글로벌 시장에서 경쟁력 있는 제품을 공급하고 있습니다. 이에 따라 넥센타이어에서는 다양한 경험과 기회를 제공받을 수 있다고 판단했습니다.
또한, 넥센타이어는 기술 혁신에 대한 투자와 연구개발에 높은 가치를 두고 있습니다. 저는 학부 시절부터 자동차 엔지니어링 및 소재공학에 대한 전문 지식과 실무 경험을 쌓기 위해 노력했습니다. 자동차 제조 및 소재 기술에 대한 관심과 지식을 바탕으로 넥센타이어에서의 업무에 적극적으로 참여하고, 기술적인 역량을 발전시키고자 합니다.
추가적으로, 넥센타이어의 인재 육성 프로그램과 다양한 교육 기회를 통해 전문성을 향상시키고, 산업의 트렌드와 기술적인 변화에 발맞춰 성장할 수 있는 환경을 제공 받고 싶습니다.
이러한 이유로 넥센타이어에 지원하게 되었으며, 준비 과정으로는 업계 동향과 기술 개발에 대한 연구를 진행하고, 자동차 산업과 관련된 프로젝트에 참여하여 실무 경험을 쌓았습니다. 넥센타이어에서의 성장과 발전에 기여하고 싶습니다."
성장/가치관,퍼포먼스마케팅 - 네이버웹툰,"스스로 생각하는 본인만의 장점은 무엇이며, 해당 업무에서 어떻게 발휘될 수 있을까요?","
6개월간 디지털미디어렙사 광고본부 인턴을 경험하며, 네이버 웹툰 퍼포먼스 마케팅에 기여할 수 있는 두 가지 장점을 길렀습니다.

첫째, 주요 광고 매체와 웹 로그 분석 Tool에 대한 지식을 길렀습니다. 저는 17명의 팀원이 있는 대형팀에 소속되어 30여 개의 캠페인을 보조하고 14개의 매체를 배웠습니다. 페이스북, Google Ads, NOSP 등 셀프 서빙 매체에 세팅을 하며 주요 용어를 습득하여 소재, 예산, 라이브기간 등을 설정했습니다. 특히 각 매체와 지면의 CPC, CPV는 ROI와 비용을 결정하는 데에 중요한 역할을 합니다. 그래서 효율적인 단가 설정을 위해 매체에서 제공하는 기집행데이터와 동종업종 평균 단가를 추출하였습니다. 넥슨 마비노기 시즌4 캠페인 당시에는 Google Analytics로 수집한 유저, 잠재 고객 데이터도 결합하여 GDN CPC를 150원에서 90원으로 조정하였지만 동일한 0.18%의 CPC 효율을 보이는 성과를 거두었습니다. 인턴십 후 퍼포먼스 마케팅에 매료되어 주요 매체에 대한 전문성을 기르기 위해 검색광고와 AdTech 과목을 수강하였고, 이론적 지식과 반복 실습을 통해 A+와 Google AdWoeds Search, GAIQ 자격증 취득이라는 결실을 맺었습니다.

둘째, 데이터 기반 논리적 사고력을 길렀습니다. 퍼포먼스 마케팅은 숫자와 데이터를 통해 문제를 해결합니다. 이를 위해서는 데이터를 꼼꼼하게 추출하는 역량과 수집된 데이터에서 가설을 세우고 유의미한 해석을 통해 문제를 해결하는 역량이 필요합니다. 
저는 크로스체크 습관을 통해 데이터를 꼼꼼하게 다룰 수 있습니다. 미디어믹스를 기획할 때 1원, 1%라도 잘못 기입할 시 전혀 다른 성과가 나오기 때문에 하나의 숫자도 실수하지 않도록 노력했습니다. 매체 내 소재를 세팅하는 과정에서도 타겟팅, 기간, 리타겟팅 모수 적용, SDK스크립트 삽입 등 1개의 정보도 빠뜨리지 않도록 하였습니다. 캠페인 집행 후에는 실시간 모니터링을 하며 소진이슈, 로그데이터 수집 오류 등의 문제는 없는지 확인하며, 게재보고를 통해 라이브도 원활하게 진행되는지 체크하였습니다. 이는 매체 캠페인을 관리하고 캠페인 운영 데이터를 추출하는 데 있어 저의 꼼꼼함이 직무 수행에 크게 기여할 것이라 확신합니다.
캠페인 진행 중 Daily report를 통해 운영 데이터를 점검하며 데이터 속 타겟의 심리를 파악한 경험이 있습니다. 이투스 플래너이벤트 캠페인 당시 Daily report 작성 중 주말 동안 Facebook 유입을 통한 회원가입 수가 급증한 적이 있습니다. 당시 신규 모델을 활용한 경쟁사 대규모캠페인으로 인해 상대적 인지도가 감소하고 있어 타 매체에서도 회원가입 수를 증가시키는 것이 중요했습니다. 저는 답을 찾기 위해 해당 게시글 댓글 속 mention이 2배 이상 증가한 것을 살핀 후 두 가지 가설을 세웠습니다.
1) 시험기간이 1주일 남아 공부하기 싫은 학생들의 FB 이용시간이 증가했다.
2) 소통의 창구로서 FB 메신저를 활발히 사용하는 고등학생들이 반배송 이벤트 당첨을 위해 바이럴을 일으켰다.
가설검증을 위해 두 가지 데이터를 취합하였습니다. 닐슨데이터 분석 결과 실제 10대 FB 이용시간이 전주 대비 1시간가량 증가하였고, 이투스 내부 데이터 분석 결과 중복 학교의 참여율이 증가하였습니다. 이를 활용해 다음 시험기간 동안 Instagram에서 친구에게 DM 보내기, mention 하기를 한 후 인증할 시 상품을 주는 이벤트를 하였고 회원가입 수가 10배 증가하였습니다. 데이터와 끊임없이 소통하여 사용자에게 다가갔던 경험은 네이버 웹툰 캠페인 데이터를 취합하고 해석하며 성과를 개선하는 문제 해결의 열쇠가 될 것입니다.대학생 대외활동 공모전 채용 사이트 링커리어 https://linkareer.com/

"
성장/가치관,브랜드마케터 - 마켓컬리,"본인 성격의 장점과 단점은 무엇입니까?

대학생 대외활동 공모전 채용 사이트 링커리어 https://linkareer.com/","[장점 : 목표달성을 위한 추진력과 집요함]
""일단 go, 무조건 되게 하라""
저는 선택을 함에 있어 고민이 없는 편입니다. 일단 시작을 하면, 무조건 목표를 달성해야 한다는 마음가짐으로 강한 추진력과 집요함으로 추진하여 성과를 내는 편입니다. 
 인플루언서 마케팅 기업에서 근무하며 고객사의 제품(구강청결제)을 인스타그램과 유튜브 채널에서 홍보하여, 고객사가 요구하는 KPI의 130%를 달성했습니다. 고객사의 니즈는 SNS 채널에서 최대한 많은 view수와 click수를 확보하는 것이었습니다. 고객사가 원하는 인플루언서 그룹이 정해져 있었고, 반드시 섭외를 해야하는 상황이었습니다. 
새벽이나 밤늦게 연락이 잘 되는 인플루언서의 특성을 고려해 업무 시간 외에도 즉각적으로 응답하여 원활한 커뮤니케이션을 했습니다. 보통 섭외를 할 때, 인스타그램 메세지만 이용하는 경우가 많았습니다. 저는 그들의 편의를 최대한 높이기 위해, 문자나 카카오톡 등 다양한 연락 수단을 이용해 소통했습니다. 또한, 섭외를 위해 제품 상세컷과 동영상 촬영본들을 추가 제공하여 광고 제품의 친밀도를 높일 수 있도록 노력했습니다. 
 효과적인 커뮤니케이션을 통해, tv 또는 웹드라마에 출연했던 영향력 높은 광고모델을 섭외할 수 있었고 고객사의 예상보다 30% 이상의 클릭 수와 뷰수를 달성할 수 있었습니다.

[ 단점 : 복기하는 습관의 부족 ] 
 인플루언서 마케팅 스타트업에서 근무하며 광고 모델에게 보내야 할 상품을 배송하는 업무를 담당했습니다.대규모 캠페인을 맡게 되었고, 약 100명의 광고 모델에게 상품을 배송해야 했습니다. 배송과정에서 재점검하지 않는 태도로 인해 4명의 상품이 누락되는 문제가 발생했습니다. 정해진 날짜에 광고 사진이 업로드되는 것이 관건이었고, 배송지연은 큰 손실을 발생할 수 있는 문제였습니다. 결국, 퀵 배송을 이용해 3배의 비용을 지불하며 문제를 해결했습니다. 

[ 실패경험의 보완점 ]
 인턴으로 근무하는 동안 많은 배송업무를 담당해야 했기에,  제 실수로 인해 팀원들에게 손해를 끼치지 않도록 3가지의 업무 습관을 기르기 위해 노력했습니다. 
첫째, 업무 점검표의 작성입니다. 매일 출근하면 약 30분간 오늘 해야 할 배송 목록과 업무의 체크리스트를 작성했습니다. 퇴근 전, '데일리브리핑' 시간을 가지며 하루 총 작업량을 정리하고 리스트의 항목들을 표시하며 빠지는 일이 없도록 주의했습니다. 둘째, 배송 과정 기록입니다. 모든 배송사항을 구글 엑셀 파일에 기록하여 한눈에 확인할 수 있도록 만들었습니다. 또한, 송장을 인쇄하면 작은 확인증이 같이 발급되는데, 확인증을 버리지 않고 하나의 파일에 모아 날짜별로 붙여두었습니다. 확인증이라는 실물 기록을 통해 문제가 발생했을 경우 더욱 빠르게 원인을 파악할 수 있었고, 팀장님께 과정을 쉽게 설명해 드릴 수 있었습니다. 마지막으로, 업무에 대한 주인의식입니다. 출근하면 가장 먼저 택배를 꺼내놓고, 총무팀에 전달했습니다. 실수가 발생하더라도 배송 시간 전에 문제를 해결할 수 있도록 업무 순서를 스스로 만들고 책임감을 길렀습니다. 3가지의 개선사항을 통해 인턴 종료 기간까지 단 한번의 배송 실수도 발생하지 않았습니다. 실패에 대한 빠른 피드백과 행동의 실천으로 한단계 더 성장할 수 있었습니다.
"
